race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",1,1,Able Choices,Able Choices,Able Choices,5,Blake Ryan,Jay Ford,$6,NA,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",3,3,Viva Macaco,Viva Macaco,Viva Macaco,4,Brad Widdup,Tom Sherry,$5,NA,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",4,4,Iambubb,Iambubb,Iambubb,9,Mitchell & Desiree Kearney,Jeff Penza,$91,3.3,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",5,5,Essay,Essay,Essay,10,Richard Collett,Alysha Collett,$2,9,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",7,7,Miss Moulaga,Miss Moulaga,Miss Moulaga,3,Edward Cummings,Keagan Latham,$151,NA,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",8,8,Silly Sausage,Silly Sausage,Silly Sausage,6,Matthew Smith,Braith Nock,$23,NA,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",9,9,Jaipur Maison,Jaipur Maison,Jaipur Maison,2,Chris Waller,Siena Grima (a-2),$3.8,6.6,racenet
R1,Hawkesbury,1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",10,10,Machrihanish,Machrihanish,Machrihanish,8,Richard & Will Freedman,Ashley Morgan,$16,4.7,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",2,2,Spare,Spare,Spare,7,Jason Attard,Rory Hutchings,$4.4,2,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",3,3,Avalon,Avalon,Avalon,9,Kim Waugh,Jay Ford,$5,NA,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",4,4,Gimme A Yes,Gimme A Yes,Gimme A Yes,4,Stephen O'Halloran,Ellen Hennessy,$71,NA,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",5,5,I Am Hearts,I Am Hearts,I Am Hearts,8,Sara Ryan,Reece Jones,$10,NA,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",6,6,Our Lady Peace,Our Lady Peace,Our Lady Peace,1,Gary Portelli,Alysha Collett,$2,5.1,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",7,7,Terra Lumina,Terra Lumina,Terra Lumina,3,Jason Coyle,Mitchell Bell,$5,6.1,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",8,8,Lucky Monkey,Lucky Monkey,Lucky Monkey,5,Karen Outtrim,Jeff Penza,$151,5.7,racenet
R2,Hawkesbury,2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,1000m,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",9,9,Run The Red Light,Run The Red Light,Run The Red Light,2,Wayne Austin,Siena Grima (a-2),$51,4.4,racenet
