race_no,runner_no,horse,official_sp,finish_position,margin,result_status,imported_at,source
1,1,ABLE CHOICES,6.9,,,unplaced,2026-07-02T03:42:44.304Z,tab
1,,THE DIPLOMAT,,,,scratched,2026-07-02T03:42:44.304Z,tab
1,3,VIVA MACACO,7.3,2,,resulted,2026-07-02T03:42:44.304Z,tab
1,4,IAMBUBB,52.5,3,,resulted,2026-07-02T03:42:44.304Z,tab
1,5,ESSAY,1.8,,,unplaced,2026-07-02T03:42:44.304Z,tab
1,,JABAL SHADA,,,,scratched,2026-07-02T03:42:44.304Z,tab
1,7,MISS MOULAGA,91.7,4,,resulted,2026-07-02T03:42:44.304Z,tab
1,8,SILLY SAUSAGE,10.4,,,unplaced,2026-07-02T03:42:44.304Z,tab
1,9,JAIPUR MAISON,5.5,1,,resulted,2026-07-02T03:42:44.304Z,tab
1,10,MACHRIHANISH,22.5,,,unplaced,2026-07-02T03:42:44.304Z,tab
2,,CREATOR OF WORLD,,,,scratched,2026-07-02T03:42:44.356Z,tab
2,2,SPARE,3.6,1,,resulted,2026-07-02T03:42:44.356Z,tab
2,3,AVALON,11,4,,resulted,2026-07-02T03:42:44.356Z,tab
2,4,GIMME A YES,71.4,,,unplaced,2026-07-02T03:42:44.356Z,tab
2,5,I AM HEARTS,17.4,,,unplaced,2026-07-02T03:42:44.356Z,tab
2,6,OUR LADY PEACE,2.1,2,,resulted,2026-07-02T03:42:44.356Z,tab
2,7,TERRA LUMINA,5.4,3,,resulted,2026-07-02T03:42:44.356Z,tab
2,8,LUCKY MONKEY,78.6,,,unplaced,2026-07-02T03:42:44.356Z,tab
2,9,RUN THE RED LIGHT,14.5,,,unplaced,2026-07-02T03:42:44.356Z,tab
3,1,COOL RUPERT,13.3,,,unplaced,2026-07-02T03:42:45.027Z,tab
3,2,HARD SHELL,24,,,unplaced,2026-07-02T03:42:45.027Z,tab
3,3,MASTER OF WAR,4.1,4,,resulted,2026-07-02T03:42:45.027Z,tab
3,4,RUSKANA,6.8,2,,resulted,2026-07-02T03:42:45.027Z,tab
3,5,STILL RISING,44.9,,,unplaced,2026-07-02T03:42:45.027Z,tab
3,6,WIZARD'S STAR,29.5,3,,resulted,2026-07-02T03:42:45.027Z,tab
3,7,ZADDICTED,93.8,,,unplaced,2026-07-02T03:42:45.027Z,tab
3,,ATOSSA,,,,scratched,2026-07-02T03:42:45.027Z,tab
3,9,PINK PERSUASION,1.7,1,,resulted,2026-07-02T03:42:45.027Z,tab
3,10,ROOM FOR PUDD,42.2,,,unplaced,2026-07-02T03:42:45.027Z,tab
