race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,2,The Extreme Cat,The Extreme Cat,The Extreme Cat,9,Nathan Doyle,Tim Clark,59kg,$16,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,4,Harlex,Harlex,Harlex,3,Paul Perry,Siena Grima (a-2),58.5kg,$17,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,5,Island Dec,Island Dec,Island Dec,4,Robert & Luke Price,Adam Hyeronimus,58kg,$3.1,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,6,Zounaka,Zounaka,Zounaka,7,John Thompson William,Stanley A3 (a-3),57.5kg,$5.5,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,7,Motoscafo,Motoscafo,Motoscafo,5,John Thompson,Kerrin McEvoy,57kg,$51,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,8,Xpresso,Xpresso,Xpresso,10,Marc Chevalier,Tyler Schiller,57kg,$23,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,11,Myriad,Myriad,Myriad,6,Nathan Doyle,Tom Sherry,55.5kg,$11,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,12,Against The Law,Against The Law,Against The Law,8,Bryce Heys,Mollie Fitzgerald (a-3),55.5kg,$10,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,13,Nullarbor Jane,Nullarbor Jane,Nullarbor Jane,2,John Sargent,Anna Roper (a-2),55kg,$6,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,14,Last Druid,Last Druid,Last Druid,1,Tracey Bartley,Alysha Collett,55kg,$23,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,15,Apache Breeze,Apache Breeze,Apache Breeze,11,Wayne Seelin,Reece Jones,54kg,$21,false
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,1,Norton Road,Norton Road,Norton Road,9,,Rodney Bailey,59kg,SCR,true
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,3,Formal,Formal,Formal,7,Nathan Doyle,Braith Nock (a-1.5),58.5kg,SCR,true
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,9,President,President,President,16,,Jason Coyle,56.5kg,SCR,true
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,10,Attractiveness,Attractiveness,Attractiveness,14,Richard & Will Freedman,Keagan Latham,55.5kg,SCR,true
1,11:05 am Midway Handicap,11:05 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,16,Maz Kanata,Maz Kanata,Maz Kanata,4,,Jason Coyle,54kg,SCR,true
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,1,Kreon,Kreon,Kreon,20,Danny Williams,Anna Roper (a-2),60.5kg,$26,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,2,Neeson,Neeson,Neeson,12,Danielle Seib,Pierre Boudvillain,58.5kg,$9,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,3,It's A Tata,It's A Tata,It's A Tata,2,Brett Robb,Izzy Neale (a-3),58kg,$23,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,4,Nimble Star,Nimble Star,Nimble Star,18,Brett Robb,Alysha Collett,58kg,$19,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,8,Calypso Rocket,Calypso Rocket,Calypso Rocket,1,Marc Quinn,Aaron Bullock (a0.5),57.5kg,$6.5,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,9,Martini Mumma,Martini Mumma,Martini Mumma,3,Matthew Dale,Mollie Fitzgerald (a-3),57kg,$7,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,10,King Of Dragons,King Of Dragons,King Of Dragons,21,Matthew Dale,Adam Hyeronimus,57kg,$14,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,12,Nirmata,Nirmata,Nirmata,14,Craig Martin,Siena Grima (a-2),56.5kg,$20,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,13,Indi Springs,Indi Springs,Indi Springs,19,Mack Griffith,Braith Nock (a-1.5),55.5kg,$6.5,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,14,Polymer,Polymer,Polymer,9,Paul Snowden,Kerrin McEvoy,55.5kg,$6.75,false
2,11:40 am Tab Highway Handicap,11:40 am,1200m,Rosehill Gardens,Handicap,Soft 7,+1m Entire,15,Dubbo Boy,Dubbo Boy,Dubbo Boy,16,Danny Williams,Tyler Schiller,54.5kg,$41,false
