race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",2,2,Rumdabar,Rumdabar,Rumdabar,8,Kris Lees,Aaron Bullock (a1),$3.3,6,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",3,3,Defensemen,Defensemen,Defensemen,1,Chris Waller,Zac Lloyd,$4.4,8.5,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",4,4,Rebel Shield,Rebel Shield,Rebel Shield,10,Gary Portelli,Alysha Collett,$5.75,6,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",5,5,Gold Globe,Gold Globe,Gold Globe,5,David Payne,Tyler Schiller,$17,5.1,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",6,6,Columbo,Columbo,Columbo,4,Gregory Hickman,Andrew Calder,$34,6,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",7,7,Ultimate Warrior,Ultimate Warrior,Ultimate Warrior,2,Michael Freedman,Andrew Adkins,$13,1.7,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",8,8,Honniball Drive,Honniball Drive,Honniball Drive,11,Brett & Georgie Cavanough,Jett Newman (a-3),$11,4.5,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",9,9,Dea,Dea,Dea,9,David Payne,Reece Jones,$35,NA,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",10,10,Woodenbridge,Woodenbridge,Woodenbridge,3,Gerald Ryan & Sterling Alexiou,Siena Grima (a-2),$9,4.8,racenet
R1,Randwick,1,11:10 am Elite Sand And Soil Handicap,1400m,Handicap,Heavy 9,"+9m 1000m-W/Post, +8m Remainder",11,11,Circus Queen,Circus Queen,Circus Queen,6,Peter Snowden,Rachel King,$10,7,racenet
