race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,1,1,Albert Palais,Albert Palais,Albert Palais,5,Clarry Conners,Reece Jones,$41,NA,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,2,2,Aurora Boom,Aurora Boom,Aurora Boom,6,Chris Waller,Siena Grima (a-2),$8,NA,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,3,3,Castillo King,Castillo King,Castillo King,1,Michael Freedman,Tommy Berry,$1.9,NA,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,5,5,Divine Offering,Divine Offering,Divine Offering,4,Peter Snowden,Braith Nock (a-1.5),$23,6,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,6,6,Eviction Notice,Eviction Notice,Eviction Notice,9,Gai Waterhouse & Adrian Bott,Rachel King,$2.9,2.2,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,7,7,Gerroa,Gerroa,Gerroa,2,Chris Waller,Zac Lloyd,$34,NA,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,8,8,Maritime Magnate,Maritime Magnate,Maritime Magnate,8,Chris Waller,Tyler Schiller,$26,NA,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,9,9,Milele,Milele,Milele,7,Chris Waller,Sam Clipperton,$51,5,racenet
R1,Warwick Farm,1,12:50 pm Racing And Sports Plate,1100m,Maiden,Soft 5,True,10,10,Sir Echo,Sir Echo,Sir Echo,3,Brad Widdup,Chad Schofield,$15,NA,racenet
R2,Warwick Farm,2,1:25 pm Robrick Lodge Plate,1100m,Maiden,Soft 5,True,1,1,Bonvoy,Bonvoy,Bonvoy,14,Peter Snowden,Rory Hutchings,$19,6,racenet
R2,Warwick Farm,2,1:25 pm Robrick Lodge Plate,1100m,Maiden,Soft 5,True,2,2,Bow Lion,Bow Lion,Bow Lion,16,Theresa Bateup,Brock Ryan,$91,NA,racenet
R2,Warwick Farm,2,1:25 pm Robrick Lodge Plate,1100m,Maiden,Soft 5,True,3,3,Chanterelle,Chanterelle,Chanterelle,10,Gai Waterhouse & Adrian Bott,Rachel King,$2.1,NA,racenet
R2,Warwick Farm,2,1:25 pm Robrick Lodge Plate,1100m,Maiden,Soft 5,True,4,4,Coco Affair,Coco Affair,Coco Affair,4,Tom Charlton,Zac Lloyd,$4.4,3,racenet
