race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,4,Union,Union,Union,6,Peter Snowden,Zac Lloyd,57kg,$2.9,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,6,Zensen,Zensen,Zensen,1,Gary Portelli,Rory Hutchings,57kg,$11,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,7,Andarna,Andarna,Andarna,7,Robert & Luke Price,Tommy Berry (a1),55kg,$3.5,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,9,Cyclone Jaz,Cyclone Jaz,Cyclone Jaz,14,Mitchell & Desiree Kearney,Jeff Penza,55kg,$151,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,10,Hammertime,Hammertime,Hammertime,4,Michael Freedman,Keagan Latham (a0.5),55kg,$8,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,11,Hearts Affair,Hearts Affair,Hearts Affair,2,Gai Waterhouse & Adrian Bott,Regan Bayliss,55kg,$3.8,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,12,Monte Shell,Monte Shell,Monte Shell,5,Robert & Luke Price,Grant Buckley,55kg,$15,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,13,Who's Cooking,Who's Cooking,Who's Cooking,9,Paul Murray,Louise Day,55kg,$26,false
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,1,Alpha Sort,Alpha Sort,Alpha Sort,10,Ross McConville,Zac Wadick,57kg,,true
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,2,Jammed,Jammed,Jammed,12,Graham Brown,Jay Ford,57kg,,true
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,3,Saturday Party,Saturday Party,Saturday Party,13,"Michael, John & Wayne Hawkes",Chad Schofield,57kg,,true
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,5,Viva Macaco,Viva Macaco,Viva Macaco,3,Brad Widdup,Chad Schofield,57kg,,true
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,8,Bascilica Babe,Bascilica Babe,Bascilica Babe,8,Sara Ryan,Andrew Adkins,55kg,,true
1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,12:05 pm,1000m,Kembla Grange,Maiden,,,14,Yankallila Bronc,Yankallila Bronc,Yankallila Bronc,11,Peter Snowden,Andrew Adkins,55kg,,true
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,3,Rapid Revenue,Rapid Revenue,Rapid Revenue,10,Bjorn Baker,Tommy Berry,58kg,$4.8,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,4,Glissando,Glissando,Glissando,4,Chris Waller,Siena Grima (a-2),57kg,$1.8,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,5,Heart Reset,Heart Reset,Heart Reset,6,Robert & Luke Price,Brock Ryan,57kg,$26,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,6,Swift Delivery,Swift Delivery,Swift Delivery,7,David Pfieffer,Zac Lloyd,57kg,$5,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,7,Divine Heights,Divine Heights,Divine Heights,3,David Payne,Olivia Chambers (a-2),56.5kg,$34,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,10,Powerful Majik,Powerful Majik,Powerful Majik,11,Diane Poidevin Laine,Ellen Hennessy,55kg,$71,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,11,Quadria,Quadria,Quadria,5,Paul & Martha Cave,Grant Buckley,55kg,$8,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,12,Yana,Yana,Yana,9,John Sargent,Molly Bourke,55kg,$16,false
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,1,Peace Bird,Peace Bird,Peace Bird,8,Ciaron Maher,Louise Day,59.5kg,,true
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,2,Creator Of World,Creator Of World,Creator Of World,12,Ross McConville,Chad Schofield (a0.5),58.5kg,,true
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,8,Last Tour,Last Tour,Last Tour,1,Brad Widdup,Jessica Taylor,55kg,,true
2,12:40 pm Collappor8 Accounting Maiden Handicap,12:40 pm,1300m,Kembla Grange,Maiden,,,9,Nambi Ghima,Nambi Ghima,Nambi Ghima,2,Jason Coyle,Jessica Taylor,55kg,,true
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,2,Clanwilliam,Clanwilliam,Clanwilliam,1,David Payne,Chad Schofield,59kg,$1.85,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,3,Copartner Pegasus,Copartner Pegasus,Copartner Pegasus,5,Stephen O'Halloran,Keagan Latham,59kg,$8,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,4,Courting Emily,Courting Emily,Courting Emily,8,Matthew Smith,Zac Lloyd,59kg,$8.5,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,5,Equinox Legend,Equinox Legend,Equinox Legend,3,Les Bridge,Andrew Adkins,59kg,$4.4,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,7,Leon Ruben,Leon Ruben,Leon Ruben,11,Diane Poidevin Laine,Ellen Hennessy,59kg,$21,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,8,Tupelo Twist,Tupelo Twist,Tupelo Twist,2,Theresa Bateup,Jessica Taylor,59kg,$126,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,9,Gemtiki,Gemtiki,Gemtiki,9,Shaun Harvey,Siena Grima (a-2),57kg,$34,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,10,Liyah's Girl,Liyah's Girl,Liyah's Girl,4,Matthew Smith,Jett Newman (a-2),57kg,$19,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,11,Wee Winn,Wee Winn,Wee Winn,7,Peter Snowden,Mitch Stapleford (a-1.5),57kg,$9,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,1,Blazing Statement,Blazing Statement,Blazing Statement,6,Nikki Hodgson,Grant Buckley,59kg,,true
