race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,4,4,Union,Union,Union,6,Peter Snowden,Zac Lloyd,$2.9,4.3,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,6,6,Zensen,Zensen,Zensen,1,Gary Portelli,Rory Hutchings,$11,7.3,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,7,7,Andarna,Andarna,Andarna,7,Robert & Luke Price,Tommy Berry (a1),$3.5,5,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,9,9,Cyclone Jaz,Cyclone Jaz,Cyclone Jaz,14,Mitchell & Desiree Kearney,Jeff Penza,$151,3,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,10,10,Hammertime,Hammertime,Hammertime,4,Michael Freedman,Keagan Latham (a0.5),$8,7,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,11,11,Hearts Affair,Hearts Affair,Hearts Affair,2,Gai Waterhouse & Adrian Bott,Regan Bayliss,$3.8,9,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,12,12,Monte Shell,Monte Shell,Monte Shell,5,Robert & Luke Price,Grant Buckley,$15,1,racenet
R1,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,1000m,Maiden,Good,,13,13,Who's Cooking,Who's Cooking,Who's Cooking,9,Paul Murray,Louise Day,$26,NA,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,3,3,Rapid Revenue,Rapid Revenue,Rapid Revenue,10,Bjorn Baker,Tommy Berry,$4.8,10,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,4,4,Glissando,Glissando,Glissando,4,Chris Waller,Siena Grima (a-2),$1.8,7,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,5,5,Heart Reset,Heart Reset,Heart Reset,6,Robert & Luke Price,Brock Ryan,$26,10.1,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,6,6,Swift Delivery,Swift Delivery,Swift Delivery,7,David Pfieffer,Zac Lloyd,$5,NA,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,7,7,Divine Heights,Divine Heights,Divine Heights,3,David Payne,Olivia Chambers (a-2),$34,NA,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,10,10,Powerful Majik,Powerful Majik,Powerful Majik,11,Diane Poidevin Laine,Ellen Hennessy,$71,3.3,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,11,11,Quadria,Quadria,Quadria,5,Paul & Martha Cave,Grant Buckley,$8,2.5,racenet
R2,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,1300m,Maiden,Good,,12,12,Yana,Yana,Yana,9,John Sargent,Molly Bourke,$16,NA,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,2,2,Clanwilliam,Clanwilliam,Clanwilliam,1,David Payne,Chad Schofield,$1.85,5.5,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,3,3,Copartner Pegasus,Copartner Pegasus,Copartner Pegasus,5,Stephen O'Halloran,Keagan Latham,$8,3.2,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,4,4,Courting Emily,Courting Emily,Courting Emily,8,Matthew Smith,Zac Lloyd,$8.5,5.9,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,5,5,Equinox Legend,Equinox Legend,Equinox Legend,3,Les Bridge,Andrew Adkins,$4.4,7.9,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,7,7,Leon Ruben,Leon Ruben,Leon Ruben,11,Diane Poidevin Laine,Ellen Hennessy,$21,7.4,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,8,8,Tupelo Twist,Tupelo Twist,Tupelo Twist,2,Theresa Bateup,Jessica Taylor,$126,4.3,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,9,9,Gemtiki,Gemtiki,Gemtiki,9,Shaun Harvey,Siena Grima (a-2),$34,7.2,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,10,10,Liyah's Girl,Liyah's Girl,Liyah's Girl,4,Matthew Smith,Jett Newman (a-2),$19,4.2,racenet
R3,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,1600m,Maiden,Good,,11,11,Wee Winn,Wee Winn,Wee Winn,7,Peter Snowden,Mitch Stapleford (a-1.5),$9,7.6,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,1,1,Bankrupt,Bankrupt,Bankrupt,11,Lee & Cherie Curtis,Jeff Penza,$23,NA,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,2,2,Coral Cove,Coral Cove,Coral Cove,3,Theresa Bateup,Jessica Taylor,$51,NA,racenet
