record_id,track,race_number,race_name,track_condition,runner_number,runner_name,barrier,jockey,trainer,w_ir,source_file,source_file_modified_at,imported_at,created_at,updated_at,last_source_file,last_source_category,race_id,grade,no,horse_name,name,source
rid_2aec8f518625a1d3,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,1,Alpha Sort,10,Zac Wadick,Ross McConville,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,1,Alpha Sort,Alpha Sort,racenet
rid_26f9602fa5c417e3,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,2,Jammed,12,Jay Ford,Graham Brown,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,2,Jammed,Jammed,racenet
rid_4bff5e5f0e6ca000,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,3,Saturday Party,13,Chad Schofield,"Michael, John & Wayne Hawkes",,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,3,Saturday Party,Saturday Party,racenet
rid_4209be2f4e750de5,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,4,Union,6,Zac Lloyd,Peter Snowden,4.3,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,4,Union,Union,racenet
rid_e47152403bff8107,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,5,Viva Macaco,3,Chad Schofield,Brad Widdup,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,5,Viva Macaco,Viva Macaco,racenet
rid_2ba02d58de49088a,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,6,Zensen,1,Rory Hutchings,Gary Portelli,7.3,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,6,Zensen,Zensen,racenet
rid_1df6c281c969f1c2,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,7,Andarna,7,Tommy Berry (a1),Robert & Luke Price,5.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,7,Andarna,Andarna,racenet
rid_a7884452169bac7b,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,8,Bascilica Babe,8,Andrew Adkins,Sara Ryan,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,8,Bascilica Babe,Bascilica Babe,racenet
rid_1ca257643eba6fa6,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,9,Cyclone Jaz,14,Jeff Penza,Mitchell & Desiree Kearney,3.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,9,Cyclone Jaz,Cyclone Jaz,racenet
rid_458bf9ab80e13090,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,10,Hammertime,4,Keagan Latham (a0.5),Michael Freedman,7.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,10,Hammertime,Hammertime,racenet
