race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,1,1,Internal Affairs,Internal Affairs,Internal Affairs,9,Brad Widdup,Tyler Schiller,$8,3.8,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,2,2,Seeiaye,Seeiaye,Seeiaye,8,Peter Snowden,Chad Schofield,$2.2,5.8,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,4,4,Audit,Audit,Audit,2,Les Bridge,Andrew Adkins,$26,5.7,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,5,5,Forest King,Forest King,Forest King,5,John O'Shea & Tom Charlton,Dylan Gibbons,$8,5.7,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,7,7,Joint Venture,Joint Venture,Joint Venture,4,Chris Waller,Sam Clipperton,$10,2,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,8,8,Gatineau,Gatineau,Gatineau,10,"Michael, John & Wayne Hawkes",Tommy Berry,$6.5,8,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,9,9,Helldeeva,Helldeeva,Helldeeva,11,Peter Snowden,Rachel King,$18,6.2,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,11,11,Leonessa,Leonessa,Leonessa,3,Chris Waller,Siena Grima (a-2),$11,5,racenet
R1,Rosehill Gardens,1,11:15 am Kia Ora Bloodlines To Headlines Handicap,1200m,Handicap,Good,,12,12,Truly Graphic,Truly Graphic,Truly Graphic,7,Tony Ball,Molly Bourke (a-1.5),$151,7,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,6,6,Harlex,Harlex,Harlex,19,Paul Perry,Rachel King,$15,3.3,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,8,8,Debello,Debello,Debello,16,Gary Portelli,Molly Bourke (a-1.5),$29,4.5,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,9,9,Koios,Koios,Koios,10,Nacim Dilmi,Zac Lloyd,$8,4.2,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,10,10,Piperita,Piperita,Piperita,11,Nacim Dilmi,Ashley Morgan,$21,7.2,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,11,11,Danish Prince,Danish Prince,Danish Prince,7,Marc & Mitchell Conners,Mollie Fitzgerald (a-3),$7,2.5,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,13,13,Myriad,Myriad,Myriad,12,Nathan Doyle,Tommy Berry,$5,5.8,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,14,14,Embrace The Wind,Embrace The Wind,Embrace The Wind,2,John Thompson,Chad Schofield,$3.8,8.6,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,15,15,Prefer Diamonds,Prefer Diamonds,Prefer Diamonds,4,Jason Attard,Tyler Schiller,$19,3.8,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,16,16,Equilibrist,Equilibrist,Equilibrist,9,Kerry Parker,Andrew Adkins,$29,7.7,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,17,17,Smart Cry,Smart Cry,Smart Cry,1,Jason Coyle,Louise Day,$41,6.1,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,18,18,Apache Breeze,Apache Breeze,Apache Breeze,5,Wayne Seelin,Reece Jones,$7.5,7.7,racenet
R2,Rosehill Gardens,2,11:50 am Midway Handicap,1300m,Handicap,Good,,19,19,Rolling Magic,Rolling Magic,Rolling Magic,3,Richard & Will Freedman,William Stanley (a-3),$16,5,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,1,1,Satin Stiletto,Satin Stiletto,Satin Stiletto,18,Matthew Dale,Mollie Fitzgerald (a-3),$9.5,2.3,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,3,3,Star Prediction,Star Prediction,Star Prediction,7,Tony Ball,Alysha Collett,$51,6.9,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,5,5,Sneaky Pee Cee,Sneaky Pee Cee,Sneaky Pee Cee,9,Danny Williams,Chad Schofield,$8.5,3.4,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,6,6,Silver Serenade,Silver Serenade,Silver Serenade,8,Danny Williams,Anna Roper (a-1.5),$51,4,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,7,7,Dawn On Me,Dawn On Me,Dawn On Me,1,"Barbara Joseph, Paul & Matt Jones",Siena Grima (a-2),$7.5,1.4,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,8,8,Andrea,Andrea,Andrea,6,Tony Ball,Shannen Llewellyn (a-3),$10,6.8,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,10,10,Bolo Miss,Bolo Miss,Bolo Miss,11,Michael Lynch,Mathew Cahill,$41,7.7,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,12,12,Kakoda,Kakoda,Kakoda,5,Scott Singleton,Mikayla Weir,$3.4,5.9,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,15,15,The Main Event,The Main Event,The Main Event,13,Terry Robinson,Tommy Berry,$14,5.5,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,16,16,Dividends Paid,Dividends Paid,Dividends Paid,2,Cathleen Rode,Andrew Gibbons,$8.5,1,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,18,18,Dubbo Boy,Dubbo Boy,Dubbo Boy,3,Danny Williams,Tyler Schiller,$19,6.1,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,19,19,Golden Vader,Golden Vader,Golden Vader,19,Liam Ruddy,Braith Nock (a-1.5),$29,6.1,racenet
R3,Rosehill Gardens,3,12:25 pm Tab Highway Handicap,1100m,Handicap,Good,,20,20,Star Whisperer,Star Whisperer,Star Whisperer,10,Rodney Northam,Reece Jones,$15,2.5,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,1,1,Ballpark,Ballpark,Ballpark,2,Chris Waller,Nash Rawiller,$3.4,2,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,3,3,Arapawa,Arapawa,Arapawa,9,Brett & Georgie Cavanough,Mollie Fitzgerald (a-3),$14,3.2,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,5,5,Konsa,Konsa,Konsa,11,Chris Waller,Tommy Berry,$8.5,7.4,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,7,7,Viewpoint,Viewpoint,Viewpoint,8,Nacim Dilmi,Alysha Collett,$18,3.7,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,8,8,Attractiveness,Attractiveness,Attractiveness,10,Richard & Will Freedman,Chad Schofield,$5,3.8,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,9,9,Cheval De Bois,Cheval De Bois,Cheval De Bois,4,Annabel & Rob Archibald,Braith Nock (a-1.5),$5.5,5.1,racenet
R4,Rosehill Gardens,4,1:00 pm Find Your Stakes Winner @ The Chase Handicap,1500m,Handicap,Good,,10,10,Viva Mauricio,Viva Mauricio,Viva Mauricio,1,Chris Waller,Tyler Schiller,$4,7.6,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,1,1,Lincoln Rocks,Lincoln Rocks,Lincoln Rocks,2,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),$19,8.2,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,2,2,Sounds Unusual,Sounds Unusual,Sounds Unusual,7,Chris Waller,Siena Grima (a-2),$9.5,7.6,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,3,3,Masoun,Masoun,Masoun,11,Chris Waller,Nash Rawiller,$9,6,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,4,4,Casual Connection,Casual Connection,Casual Connection,9,John Sargent,Molly Bourke (a-1.5),$14,4.6,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,6,6,Stylebender,Stylebender,Stylebender,8,Kristen Buchanan,Shannen Llewellyn (a-3),$61,5.2,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,7,7,Golden Century,Golden Century,Golden Century,5,Chris Waller,Tommy Berry,$6,8.3,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,8,8,Belle Detelle,Belle Detelle,Belle Detelle,4,Chris Waller,Tyler Schiller,$13,7.7,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,9,9,Cormac,Cormac,Cormac,6,Annabel & Rob Archibald,Zac Wadick (a-2),$5.75,2.9,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,10,10,Laspirit Deeler,Laspirit Deeler,Laspirit Deeler,12,Lee & Cherie Curtis,Jeff Penza,$91,7.7,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,11,11,Deal N' Dash,Deal N' Dash,Deal N' Dash,1,Bjorn Baker,Dylan Gibbons,$8,7.9,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,13,13,War Ribbon,War Ribbon,War Ribbon,14,David Payne,Alysha Collett,$20,5.5,racenet
R5,Rosehill Gardens,5,1:35 pm Congratulations Atc Member Jane Mcdonald Handicap,2400m,Handicap,Good,,14,14,Le Troisir,Le Troisir,Le Troisir,10,Chris Waller,Zac Lloyd,$4.4,8.1,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,2,2,Ticklebelly,Ticklebelly,Ticklebelly,6,Scott Collings,Mollie Fitzgerald (a-3),$5.5,3,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,3,3,Sword Of Legacy,Sword Of Legacy,Sword Of Legacy,4,Matthew Dunn,Nash Rawiller,$2.6,6.9,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,4,4,Couples Retreat,Couples Retreat,Couples Retreat,1,Annabel & Rob Archibald,Alysha Collett,$7,4.5,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,5,5,Jellicious,Jellicious,Jellicious,5,Chris Waller,Tommy Berry,$6,3.7,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,6,6,Super Bright,Super Bright,Super Bright,8,Nathan Doyle,Dylan Gibbons,$31,7,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,7,7,Tequila Baby,Tequila Baby,Tequila Baby,12,Brad Widdup,Zac Lloyd,$19,3.7,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,10,10,West Of Dalby,West Of Dalby,West Of Dalby,3,Matthew Dale,Rachel King,$9,6.1,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,11,11,Kirribilli,Kirribilli,Kirribilli,2,Scott Singleton,Mikayla Weir,$23,9,racenet
R6,Rosehill Gardens,6,2:10 pm Ranvet Handicap,1200m,Handicap,Good,,12,12,Twisted Queen,Twisted Queen,Twisted Queen,13,Joseph Pride,Regan Bayliss,$19,6.6,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,1,1,Dragonstone,Dragonstone,Dragonstone,10,Joseph Pride,Sam Clipperton,$10,6.3,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,2,2,Way To The Stars,Way To The Stars,Way To The Stars,1,Matthew Smith,Rachel King,$6.5,2.9,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,3,3,Aviatress,Aviatress,Aviatress,4,Liam Ruddy,Tommy Berry,$8,6.4,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,4,4,Roselyn's Star,Roselyn's Star,Roselyn's Star,9,John O'Shea & Tom Charlton,Zac Lloyd,$2.1,3.5,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,5,5,Cigar Flick,Cigar Flick,Cigar Flick,3,Chris Waller,Andrew Adkins,$7.5,8.7,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,7,7,Grand Impact,Grand Impact,Grand Impact,11,Mick Price & Michael Kent Jnr,Dylan Gibbons,$12,2.6,racenet
R7,Rosehill Gardens,7,2:45 pm Schweppes Handicap,1100m,Handicap,Good,,9,9,Storm The Ramparts,Storm The Ramparts,Storm The Ramparts,5,Joseph Pride,Reece Jones,$11,2.6,racenet
R8,Rosehill Gardens,8,3:25 pm Racing And Sports Handicap,1300m,Handicap,Good,,1,1,Bold Mac,Bold Mac,Bold Mac,15,Richard Collett,Shannen Llewellyn (a-3),$71,8,racenet
