race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",2,2,Royal Air Force,Royal Air Force,Royal Air Force,7,Chris Waller,Sam Clipperton,$12,5.5,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",3,3,The Little General,The Little General,The Little General,1,Gai Waterhouse & Adrian Bott,Zac Wadick (a-2),$3.8,1.6,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",4,4,Lull,Lull,Lull,2,Ciaron Maher,Mollie Fitzgerald (a-3),$8.5,3.3,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",5,5,Raskol,Raskol,Raskol,10,Peter Snowden,Tom Sherry,$4.6,3.6,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",6,6,Olivia Twist,Olivia Twist,Olivia Twist,4,Brad Widdup,Tommy Berry,$10,3.6,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",7,7,Sunrise Ridge,Sunrise Ridge,Sunrise Ridge,9,Greg Backhouse,Anna Roper (a-1.5),$13,5.6,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",8,8,Beverly Hills,Beverly Hills,Beverly Hills,5,Chris Waller,Siena Grima (a-2),$19,2.3,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",9,9,Pazyryk,Pazyryk,Pazyryk,3,Michael Freedman,Rachel King,$11,4.3,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",10,10,Powerful Tune,Powerful Tune,Powerful Tune,6,Kris Lees,William Stanley (a-3),$11,1.8,racenet
R1,Canterbury,1,12:50 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",11,11,Zou Royal,Zou Royal,Zou Royal,8,Jarrod Austin,Alysha Collett,$10,1.7,racenet
R2,Canterbury,2,1:25 pm Robrick Lodge Handicap,1200m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",1,1,Persian Wonder,Persian Wonder,Persian Wonder,6,David Payne,Zac Lloyd,$2.9,7.4,racenet
R2,Canterbury,2,1:25 pm Robrick Lodge Handicap,1200m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",2,2,Argansort,Argansort,Argansort,3,Gai Waterhouse & Adrian Bott,Rachel King,$3.1,NA,racenet
R2,Canterbury,2,1:25 pm Robrick Lodge Handicap,1200m,Handicap,Soft 7,+8m Entire,Fine,5.74,"Going stick 8.4, Sheer 12.3",3,3,Yoshida,Yoshida,Yoshida,5,Jim & Greg Lee,Reece Jones,$6.5,NA,racenet
