race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,1,1,Gold Earth,Gold Earth,Gold Earth,3,Tommy Wong,Winona Costin,$5.5,4.8,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,3,3,Last Tour,Last Tour,Last Tour,2,Brad Widdup,Leeshelle Small (a-1.5),$6,5.2,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,4,4,The Champion,The Champion,The Champion,8,Gary Portelli,Robyn Freeman,$2,5.7,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,5,5,Apple Pie,Apple Pie,Apple Pie,1,Pat Murphy,Shaun Guymer,$151,5.6,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,6,6,Argantorati,Argantorati,Argantorati,6,Joseph Ible,Ms Louise Day,$11,6.2,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,7,7,Disgruntled,Disgruntled,Disgruntled,7,Annabel & Rob Archibald,Olivia Dalton (a-2),$10,3.5,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,8,8,Pride Of Hazel,Pride Of Hazel,Pride Of Hazel,5,Pat Murphy,Sairyn Fawke,$41,3.7,racenet
R1,Bathurst,1,1:05 pm John Kinghorn Memorial Maiden Plate,1400m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,9,9,Samoan Roman,Samoan Roman,Samoan Roman,4,Patrick Cleave,Donovan Dillon,$6.5,NA,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,1,1,Mr Cacciatore,Mr Cacciatore,Mr Cacciatore,2,Ben Lees,Gabrielle Johnston (a-2),$2.6,4.3,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,2,2,Vodka Soda,Vodka Soda,Vodka Soda,6,Maree Hopkins,Shaun Guymer,$26,6,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,3,3,Argyle Springs,Argyle Springs,Argyle Springs,7,Alison Smith,Louise Day,$61,5.6,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,5,5,Daisy Duck,Daisy Duck,Daisy Duck,4,Connie Greig,Mikayla Weir,$23,3.7,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,6,6,Sky Goddess,Sky Goddess,Sky Goddess,5,Pat Murphy,Mitchell Bell,$12,NA,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,7,7,Stormy Reign,Stormy Reign,Stormy Reign,1,Garry Kirkup Rebecca,Bronett Prag (a-2),$51,5,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,8,8,Miners Mate,Miners Mate,Miners Mate,8,Lyle Chandler,Donovan Dillon,$3.8,2.5,racenet
R2,Bathurst,2,1:40 pm Central West Smoke Alarms Country Boosted Maiden Plate,1100m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,10,10,Red Rocquette,Red Rocquette,Red Rocquette,3,Scott Collings,Mathew Cahill,$2.65,3.3,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,1,1,Piacentini,Piacentini,Piacentini,3,Jason Attard,Donovan Dillon,$14,9,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,2,2,Silver Summit,Silver Summit,Silver Summit,5,Joseph Ible Jean,Jean Van Overmeire,$13,NA,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,3,3,Devil Dancer,Devil Dancer,Devil Dancer,7,Jarrod Austin,Louise Day,$4.4,NA,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,4,4,Let Up,Let Up,Let Up,2,Pat Murphy,Molly Bourke,$5.5,NA,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,5,5,Moonlit Timber,Moonlit Timber,Moonlit Timber,8,Tommy Wong,Grant Buckley,$23,NA,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,7,7,Denise's Gal,Denise's Gal,Denise's Gal,1,Marc & Mitchell Conners,Deanne Panya,$1.85,2.1,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,8,8,El Cool Gee,El Cool Gee,El Cool Gee,6,Pat Murphy,Dale Cole (a-2),$34,NA,racenet
R3,Bathurst,3,2:15 pm Drb Contracting Maiden Handicap,1200m,Maiden,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,9,9,Magic Iris,Magic Iris,Magic Iris,4,Cheryl Crockett,Coriah Keatings,$13,5.1,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,1,1,Yes Siree,Yes Siree,Yes Siree,4,Claire Lever,Winona Costin,$3.1,5.8,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,2,2,Comic Culture,Comic Culture,Comic Culture,5,Rob Potter,Damon Budler,$3.7,2,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,4,4,Smichov,Smichov,Smichov,1,Jarrod Austin,Braith Nock,$7,4.6,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,5,5,Brass Monkeys,Brass Monkeys,Brass Monkeys,3,Scott Collings,Louise Day,$8,3.8,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,6,6,Sellicks Beach,Sellicks Beach,Sellicks Beach,6,Michael Mulholland,Jacob Stiff (a-1.5),$4.4,6,racenet
R4,Bathurst,4,"2:50 pm Bathurst Ag, Horse & Pet Class 1 Handicap",1400m,Class 1,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,7,7,Son Of Eureka,Son Of Eureka,Son Of Eureka,2,Liam Ruddy,Adam Farragher,$9.5,2,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,1,1,Shadow Dane,Shadow Dane,Shadow Dane,8,Michael Mulholland,Jacob Stiff (a-1.5),$8,7.1,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,2,2,Like Lukey,Like Lukey,Like Lukey,9,Todd Smith,Izzy Neale (a-1.5),$5,7.8,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,3,3,Binkou,Binkou,Binkou,1,Garry Frazer,Grant Buckley,$8,9.3,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,6,6,Devine Outcast,Devine Outcast,Devine Outcast,3,Pat Murphy,Mitchell Bell,$8.5,6.7,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,8,8,It Is To Be,It Is To Be,It Is To Be,7,Pat Murphy,Shaun Guymer,$9,5.7,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,9,9,Own Them,Own Them,Own Them,2,Scott Collings,Mathew Cahill,$15,6.1,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,10,10,Italus,Italus,Italus,5,Angus Stewart,Donovan Dillon,$3.2,1.5,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,12,12,Godwits,Godwits,Godwits,6,Todd Smith,Liam Blanch (a1),$12,8.3,racenet
R5,Bathurst,5,3:25 pm Off Road 4 X 4 Bathurst Benchmark 66 Handicap,1800m,BM66,Good 4,"+2m 1200m-350m, True Remainder",Fine,,,13,13,Devils Daughter,Devils Daughter,Devils Daughter,4,Paul & Martha Cave,Andrew Calder,$14,7,racenet
