race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,1,1,Written Doll,Written Doll,Written Doll,3,David Pfieffer,Rachel King,$1.95,3.7,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,2,2,Anthropoid,Anthropoid,Anthropoid,4,Brad Widdup,Kerrin McEvoy,$11,4.3,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,4,4,Lego Master,Lego Master,Lego Master,2,Bjorn Baker,Dylan Gibbons,$7,2.6,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,5,5,Real Mccoy,Real Mccoy,Real Mccoy,6,Joseph Pride,Andrew Adkins,$51,8,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,6,6,Albert Palais,Albert Palais,Albert Palais,7,Clarry Conners,Zac Lloyd,$3.8,5,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,7,7,Andarna,Andarna,Andarna,5,Robert & Luke Price,Tommy Berry (a0.5),$8.5,5.7,racenet
R1,Illawarra Grange,1,12:35 pm Radical Media Maiden Handicap,1200m,Maiden,Good 4,+0.5m Entire,Fine,,,8,8,Dame Dividend,Dame Dividend,Dame Dividend,1,Matthew Smith,Jay Ford,$15,6.2,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,1,1,Clanwilliam,Clanwilliam,Clanwilliam,3,David Payne,Chad Schofield,$1.45,5,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,2,2,Coral Cove,Coral Cove,Coral Cove,5,Theresa Bateup,Jessica Taylor,$14,4,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,5,5,The Agent,The Agent,The Agent,2,Amanda Turner,Mollie Fitzgerald,$31,2,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,6,6,Gosh Almighty,Gosh Almighty,Gosh Almighty,6,Gary Portelli,Andrew Adkins,$10,NA,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,8,8,Celestial Grace,Celestial Grace,Celestial Grace,4,Gary Portelli,Siena Grima (a-2),$5,6,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,9,9,Cool Ledger,Cool Ledger,Cool Ledger,7,Gary Portelli,Regan Bayliss,$8,9,racenet
R2,Illawarra Grange,2,1:10 pm Nsw Jockeys Association Midway Maiden Handicap,1300m,Maiden,Good 4,+0.5m Entire,Fine,,,10,10,Fulmina's Legacy,Fulmina's Legacy,Fulmina's Legacy,1,Robert & Luke Price,Jett Newman (a-2),$26,5.5,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,1,1,Bellagio Beach,Bellagio Beach,Bellagio Beach,10,Amanda Turner,Reece Jones,$126,1,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,2,2,Cap D'ail,Cap D'ail,Cap D'ail,11,Diane Poidevin Laine,Olivia Chambers (a-2),$126,6,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,3,3,Isawyou,Isawyou,Isawyou,2,David Pfieffer,Alysha Collett,$1.55,5,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,4,4,Konigstein,Konigstein,Konigstein,3,Chris Waller,Siena Grima (a-2),$31,NA,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,6,6,Pariah Time,Pariah Time,Pariah Time,7,Mitchell Beer & George Carpenter Jean,Van Overmeire,$14,2.9,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,7,7,Zousari,Zousari,Zousari,1,Jason Coyle,Regan Bayliss,$15,6.4,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,8,8,Appin Opal,Appin Opal,Appin Opal,4,David Pfieffer,Jay Ford,$9,5.6,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,9,9,Avon Calling,Avon Calling,Avon Calling,6,Brad Widdup,Kerrin McEvoy,$7,4.3,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,10,10,Idyllic Star,Idyllic Star,Idyllic Star,9,Steve Englebrecht,Deanne Panya,$151,NA,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,11,11,Kiss Of Gold,Kiss Of Gold,Kiss Of Gold,5,Matthew Smith,Tyler Schiller,$7.5,4.8,racenet
R3,Illawarra Grange,3,1:45 pm Jockeys Celebration Day 3yo Maiden Plate,1150m,Maiden,Good 4,+0.5m Entire,Fine,,,12,12,Viva Viva,Viva Viva,Viva Viva,8,Amanda Turner,Winona Costin,$151,5.8,racenet
R4,Illawarra Grange,4,2:20 pm Equimillion Super Maiden Plate,1450m,Maiden,Good 4,+0.5m Entire,Fine,,,3,3,Creator Of World,Creator Of World,Creator Of World,2,Ross McConville,Zac Lloyd,$2.6,5.8,racenet
R4,Illawarra Grange,4,2:20 pm Equimillion Super Maiden Plate,1450m,Maiden,Good 4,+0.5m Entire,Fine,,,5,5,Leon Ruben,Leon Ruben,Leon Ruben,9,Diane Poidevin Laine,Jeff Penza,$15,7.5,racenet
R4,Illawarra Grange,4,2:20 pm Equimillion Super Maiden Plate,1450m,Maiden,Good 4,+0.5m Entire,Fine,,,6,6,Take A Day Off,Take A Day Off,Take A Day Off,3,Paul & Martha Cave,Lee Magorrian,$26,2.7,racenet
