race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,1,1,Hellova Nature,Hellova Nature,Hellova Nature,4,Kristen Buchanan,Mollie Fitzgerald (a-3),$5,3.8,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,2,2,Just In Time,Just In Time,Just In Time,6,Jason Deamer,Shannen Llewellyn (a-3),$23,5.8,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,4,4,Northern Eyes,Northern Eyes,Northern Eyes,9,Kim Waugh,Jay Ford,$71,5.7,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,5,5,Cape Byron,Cape Byron,Cape Byron,2,Marc & Mitchell Conners,Nash Rawiller,$7.5,5.7,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,6,6,Koios,Koios,Koios,8,Nacim Dilmi,Zac Lloyd,$4.8,,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,7,7,Debello,Debello,Debello,10,Gary Portelli,Molly Bourke (a-1.5),$23,2,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,8,8,Piperita,Piperita,Piperita,11,Nacim Dilmi,Tyler Schiller,$51,8,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,9,9,Attractiveness,Attractiveness,Attractiveness,1,Richard & Will Freedman,Chad Schofield,$3.7,6.2,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,12,12,Krasina,Krasina,Krasina,3,David Payne,Kerrin McEvoy,$5,7,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,13,13,Smart Cry,Smart Cry,Smart Cry,7,Jason Coyle,Rachel King,$26,,racenet
R1,Rosehill Gardens,1,11:25 am Midway Handicap,1400m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,14,14,Killer Kerr,Killer Kerr,Killer Kerr,5,Peter Green,Alysha Collett,$41,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,1,1,Kreon,Kreon,Kreon,8,Danny Williams,Mollie Fitzgerald (a-3),$29,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,3,3,Wayburn,Wayburn,Wayburn,10,Matthew Dunn,Nash Rawiller,$4.6,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,4,4,She Within,She Within,She Within,14,Danny Williams,Chad Schofield,$15,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,6,6,Nimble Star,Nimble Star,Nimble Star,2,Brett Robb,Alysha Collett,$21,3.3,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,7,7,Sobek,Sobek,Sobek,3,Scott Singleton,Izzy Neale (a-3),$2.9,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,8,8,Somerton Smart,Somerton Smart,Somerton Smart,6,Sue Grills,Siena Grima (a-2),$9,4.5,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,11,11,Chemtrail,Chemtrail,Chemtrail,13,Danny Williams,Tyler Schiller,$41,2.5,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,14,14,Indi Springs,Indi Springs,Indi Springs,15,Mack Griffith,Braith Nock (a-1.5),$9.5,8.6,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,15,15,Martini Mumma,Martini Mumma,Martini Mumma,5,Matthew Dale,Tim Clark,$12,3.8,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,16,16,Hot Wings,Hot Wings,Hot Wings,9,Matthew Dunn,Kerrin McEvoy,$35,7.7,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,17,17,Rocket Rudee,Rocket Rudee,Rocket Rudee,7,Wayne Carroll,Tommy Berry,$71,6.1,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,19,19,Winning Emotions,Winning Emotions,Winning Emotions,12,Danny Williams,Rachel King,$29,5,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,20,20,Nirmata,Nirmata,Nirmata,1,Craig Martin,Ms Shannen Llewellyn (a3/54kg),$31,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,21,21,Fan Harder,Fan Harder,Fan Harder,4,Rodney Northam,Reece Jones,$34,,racenet
R2,Rosehill Gardens,2,12:00 pm Tab Highway Handicap,1200m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,22,22,Athena's Treasure,Athena's Treasure,Athena's Treasure,11,Todd Howlett,Jay Ford,$126,,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,1,1,Dusty Bay,Dusty Bay,Dusty Bay,8,Tracey Bartley,Braith Nock (a-1.5),$12,2.3,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,2,2,Columbus,Columbus,Columbus,5,Les Bridge,James McDonald,$2.1,,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,3,3,Barking Mad,Barking Mad,Barking Mad,4,Chris Waller,Nash Rawiller (a0.5),$6.5,6.9,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,4,4,Funshow,Funshow,Funshow,7,Nathan Doyle,Tim Clark,$10,,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,5,5,John Dory,John Dory,John Dory,9,Chris Waller,Zac Lloyd,$9.5,3.4,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,6,6,Konsa,Konsa,Konsa,6,Chris Waller,Tommy Berry,$17,4,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,7,7,Sponars,Sponars,Sponars,1,Bjorn Baker,Rachel King,$17,1.4,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,9,9,Nandina,Nandina,Nandina,3,Chris Waller,Siena Grima (a-2),$11,,racenet
R3,Rosehill Gardens,3,12:35 pm Kia Ora Bloodlines To Headlines Handicap,1500m,Handicap,Good 4,"+7m 800m to W/Post, +6m Remainder",Overcast,5.21,Going Stick 9.5; Shear 11.1,10,10,Saloon Passage,Saloon Passage,Saloon Passage,2,Chris Waller,Tyler Schiller,$15,7.7,racenet
