race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",1,1,Blessed Eagle,Blessed Eagle,Blessed Eagle,7,Gai Waterhouse & Adrian Bott,Tim Clark,$3.9,NA,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",3,3,Ghostbuster,Ghostbuster,Ghostbuster,9,Joseph Pride,Chad Schofield,$19,4,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",4,4,Watson's Bay,Watson's Bay,Watson's Bay,4,Chris Waller,James McDonald,$6.5,NA,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",6,6,Artemex,Artemex,Artemex,5,Ciaron Maher,Nash Rawiller,$5,4.3,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",7,7,Profitabelle,Profitabelle,Profitabelle,8,Bjorn Baker,Tommy Berry,$2.8,7.7,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",8,8,Jammed,Jammed,Jammed,1,Graham Brown,Zac Wadick (a-2),$91,7,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",9,9,Darn You,Darn You,Darn You,6,Peter Snowden,Sam Clipperton,$13,NA,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",10,10,Saffron Veil,Saffron Veil,Saffron Veil,3,Chris Waller,Zac Lloyd,$15,NA,racenet
R1,Warwick Farm,1,1:25 pm Ranvet Handicap,1100m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",11,11,Secrets Within,Secrets Within,Secrets Within,2,Annabel & Rob Archibald,Dylan Gibbons,$23,NA,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",3,3,Comanche Chief,Comanche Chief,Comanche Chief,5,Fabio Martino,Chad Schofield,$34,4,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",7,7,Power Broker,Power Broker,Power Broker,9,Edward O'Rourke,Kerrin McEvoy,$17,NA,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",8,8,Stateroom,Stateroom,Stateroom,3,Ciaron Maher,Sam Clipperton,$18,4,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",9,9,Wendell,Wendell,Wendell,4,Gai Waterhouse & Adrian Bott,Regan Bayliss,$14,2.3,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",10,10,Albert Palais,Albert Palais,Albert Palais,7,Clarry Conners,Nash Rawiller (a1),$17,5,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",13,13,Queen's Gamble,Queen's Gamble,Queen's Gamble,8,Matthew Smith,Tommy Berry,$7,6.3,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",14,14,Satin Serenade,Satin Serenade,Satin Serenade,2,Chris Waller,James McDonald (a0.5),$1.5,4,racenet
R2,Warwick Farm,2,2:00 pm Inglis Xtra Bonus Handicap,1300m,Handicap,Soft 6,True,Fine,5.35,"Going Stick 8.5, Sheer 10.4",18,18,Sheza Boom,Sheza Boom,Sheza Boom,6,Liam Birchley,Alysha Collett,$29,6.1,racenet
