race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Warwick Farm,1,1:35 pm 2026 Keeneland September Yearling Sale Handicap,1200m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,1,1,Blessed Eagle,Blessed Eagle,Blessed Eagle,2,Gai Waterhouse & Adrian Bott,Tim Clark,$3.1,1,racenet
R1,Warwick Farm,1,1:35 pm 2026 Keeneland September Yearling Sale Handicap,1200m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,2,2,Katoto,Katoto,Katoto,5,Chris Waller,James McDonald,$5.75,4.2,racenet
R1,Warwick Farm,1,1:35 pm 2026 Keeneland September Yearling Sale Handicap,1200m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,5,5,Bring Me Chocolate,Bring Me Chocolate,Bring Me Chocolate,3,Annabel & Rob Archibald,Chad Schofield,$4.2,4.3,racenet
R1,Warwick Farm,1,1:35 pm 2026 Keeneland September Yearling Sale Handicap,1200m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,7,7,Sequinned,Sequinned,Sequinned,4,Chris Waller,Zac Lloyd,$5.5,6.5,racenet
R1,Warwick Farm,1,1:35 pm 2026 Keeneland September Yearling Sale Handicap,1200m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,8,8,Saffron Veil,Saffron Veil,Saffron Veil,1,Chris Waller,Siena Grima (a-2),$4.6,7,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,1,1,Nomadic,Nomadic,Nomadic,9,John Thompson,Regan Bayliss,$13,8.8,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,2,2,Albert Palais,Albert Palais,Albert Palais,10,Clarry Conners,Nash Rawiller,$9.5,6.5,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,6,6,Hozumi,Hozumi,Hozumi,5,Chris Waller,Siena Grima (a-2),$61,NA,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,7,7,Iron Age,Iron Age,Iron Age,3,"Michael, John & Wayne Hawkes",Tyler Schiller,$15,NA,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,8,8,Northcote King,Northcote King,Northcote King,7,Bryce Heys,Mollie Fitzgerald (a-3),$151,NA,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,10,10,Wonka,Wonka,Wonka,4,Chris Waller,Jason Collett,$9.5,4.3,racenet
R2,Warwick Farm,2,2:10 pm Asahi Super Dry Handicap,1400m,Handicap,Good 4,+3m Entire,Fine,4.96,Going Stick - 9; Shear - 10.2,12,12,Sing Your Song,Sing Your Song,Sing Your Song,11,Chris Waller,James McDonald,$2.75,6.7,racenet
