race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",1,1,Algorithmic,Algorithmic,Algorithmic,5,Nikki Hodgson,Andrew Gibbons,$3.6,4.2,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",2,2,Classic Two,Classic Two,Classic Two,4,Rodney Bailey,Reece Jones,$9,4.2,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",3,3,Lightning Joey,Lightning Joey,Lightning Joey,7,Paul Murray,Chad Lever,$101,7.4,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",4,4,Riga,Riga,Riga,6,Nacim Dilmi,Shannen Llewellyn (a-2),$2.9,2.4,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",5,5,What A Gent,What A Gent,What A Gent,2,Tracey Bartley,Jason Collett,$6.5,2.6,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",6,6,Wildstone Nature,Wildstone Nature,Wildstone Nature,7,Theresa Bateup,Siena Grima (a-1.5),$151,6,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",8,8,Nautical Twilight,Nautical Twilight,Nautical Twilight,1,Mark Minervini,Rory Hutchings,$26,9,racenet
R1,Wyong,1,12:50 pm Wyong Equine Clinic Midway 4yo&up Maiden Plate,1350m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",9,9,Spud Gun,Spud Gun,Spud Gun,3,Jack Pilkington,Chad Schofield,$5.5,5.7,racenet
R2,Wyong,2,1:25 pm Bishop Collins Audit Super Maiden Handicap,1200m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",1,1,Written Doll,Written Doll,Written Doll,1,David Pfieffer,Tim Clark,$2.4,3,racenet
R2,Wyong,2,1:25 pm Bishop Collins Audit Super Maiden Handicap,1200m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",3,3,Star Half,Star Half,Star Half,7,"Michael, John & Wayne Hawkes",Tyler Schiller,$10,7,racenet
R2,Wyong,2,1:25 pm Bishop Collins Audit Super Maiden Handicap,1200m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",4,4,Dragon Blood,Dragon Blood,Dragon Blood,5,Annabel & Rob Archibald,Tom Sherry,$2.55,3,racenet
R2,Wyong,2,1:25 pm Bishop Collins Audit Super Maiden Handicap,1200m,Maiden,Good 4,True,Fine,,"Going Stick- Index 9.3, Shear 10.7",6,6,Hanzo Sword,Hanzo Sword,Hanzo Sword,4,Brad Widdup,Chad Schofield,$20,NA,racenet
