race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",1,1,Felix Majestic,Felix Majestic,Felix Majestic,8,Gary Nickson,Molly Bourke (a-1.5),$3.6,3.6,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",2,2,Hellfire Express,Hellfire Express,Hellfire Express,4,Nathan Doyle,Ashley Morgan,$41,3.6,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",3,3,Dusty Bay,Dusty Bay,Dusty Bay,2,Tracey Bartley,James McDonald,$3.1,3.3,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",4,4,Long Legs,Long Legs,Long Legs,6,Gary Portelli,Nash Rawiller,$8,4,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",5,5,Barrengarry,Barrengarry,Barrengarry,9,Joseph Ible,Zac Lloyd,$5,5.3,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",8,8,Satness,Satness,Satness,3,Robert & Luke Price,Adam Hyeronimus,$41,2.4,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",11,11,Kingston Charm,Kingston Charm,Kingston Charm,7,John Thompson,Kerrin McEvoy,$61,8.7,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",14,14,Lady Pankhurst,Lady Pankhurst,Lady Pankhurst,5,John Sargent,Braith Nock (a-1.5),$21,3,racenet
R1,Randwick,1,11:50 am Midway Handicap,1400m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",16,16,Vexxy,Vexxy,Vexxy,1,Richard & Will Freedman,Andrew Adkins,$9,8.4,racenet
R2,Randwick,2,12:25 pm Buy Your Kosciuszko Tickets At Tab Highway Handicap,1200m,Handicap,Good 4,+3m Entire Course.,Fine,5.24,"Going Stick 9.4, Shear 12",1,1,Bengal,Bengal,Bengal,9,Luke Pepper,Braith Nock (a-1.5),$51,5.1,racenet
