race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,1,1,Wayburn,Wayburn,Wayburn,7,Matthew Dunn,Mollie Fitzgerald (a-3),$4.2,5.4,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,2,2,Condone,Condone,Condone,8,Mack Griffith,Braith Nock (a-1.5),$19,5,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,5,5,Chilled With Ice,Chilled With Ice,Chilled With Ice,10,Matthew Dunn,Nash Rawiller,$31,3.6,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,6,6,Nimble Star,Nimble Star,Nimble Star,6,Brett Robb,Alysha Collett,$12,5.7,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,9,9,Xtreme,Xtreme,Xtreme,6,Paul Snowden,Kerrin McEvoy,$6,3.8,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,11,11,Snowy,Snowy,Snowy,6,"Barbara Joseph, Paul & Matt Jones",Claire Ramsbotham (a-3),$51,4.5,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,12,12,Dubbo Boy,Dubbo Boy,Dubbo Boy,9,Danny Williams,Anna Roper (a-1.5),$51,6.5,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,13,13,Yiasou,Yiasou,Yiasou,2,Brett Thompson,Jake Pracey-holmes,$67,2.8,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,14,14,I Am Steffi,I Am Steffi,I Am Steffi,6,Neil Osborne,Tim Clark,$20,2,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,15,15,Brutal Miss,Brutal Miss,Brutal Miss,4,Matthew Dunn,Zac Lloyd,$3.1,8,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,17,17,The Main Event,The Main Event,The Main Event,5,Terry Robinson,Rachel King,$15,5.8,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,19,19,Roonami,Roonami,Roonami,1,Matthew Kelley,Coriah Keatings (a-3),$20,4.1,racenet
R1,Rosehill Gardens,1,11:50 am Tab Highway Handicap,1400m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,20,20,Diamond Frost,Diamond Frost,Diamond Frost,3,Keith Dryden & Libby Snowden,Tyler Schiller,$61,8.9,racenet
R2,Rosehill Gardens,2,12:25 pm Midway Handicap,1200m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,1,1,Huon,Huon,Huon,10,Richard Litt,William Stanley (a-2),$91,4.6,racenet
R2,Rosehill Gardens,2,12:25 pm Midway Handicap,1200m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,3,3,Zaragoza,Zaragoza,Zaragoza,4,Robert & Luke Price,Tommy Berry,$41,7.8,racenet
R2,Rosehill Gardens,2,12:25 pm Midway Handicap,1200m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,4,4,Heroic Deed,Heroic Deed,Heroic Deed,6,Nathan Doyle,Ashley Morgan,$3.6,4.4,racenet
R2,Rosehill Gardens,2,12:25 pm Midway Handicap,1200m,Handicap,Good 4,+5m Entire,Fine,5.21,Going Stick 9.7; Shear 12;,5,5,Heuristic,Heuristic,Heuristic,1,Mitchell Beer & George Carpenter,Nash Rawiller,$15,5.8,racenet
