race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,1,1,Crescent King,Crescent King,Crescent King,8,Peter Snowden,Zac Lloyd,$4,3,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Czech Me,Czech Me,Czech Me,5,Luke Pepper,Brodie Loy,$10,1,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,4,4,Keen To Exceed,Keen To Exceed,Keen To Exceed,7,"Michael, John & Wayne Hawkes",Tyler Schiller,$2.75,5.3,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Laconic Livo,Laconic Livo,Laconic Livo,2,Brad Widdup,Chad Schofield,$41,7.7,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,7,7,Vatican,Vatican,Vatican,6,Chris Waller,James McDonald,$7.5,6,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,8,8,Better By Far,Better By Far,Better By Far,9,Gai Waterhouse & Adrian Bott,Tim Clark,$5.5,1.3,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,9,9,Fiaba,Fiaba,Fiaba,4,Chris Waller,Tommy Berry,$9.5,NA,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,13,13,Snitzel's Girl,Snitzel's Girl,Snitzel's Girl,1,Chris Waller,Jason Collett,$20,7,racenet
R1,Canterbury,1,1:35 pm Hyland Race Colours Plate,1100m,Maiden,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,14,14,The Weapon,The Weapon,The Weapon,3,Gary Nickson,Molly Bourke (a-1.5),$251,NA,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Iommi,Iommi,Iommi,6,Chris Waller,Siena Grima (a-2),$23,1.3,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,3,3,Biarritz,Biarritz,Biarritz,3,Chris Waller,Tyler Schiller,$27,NA,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,4,4,Dr Know,Dr Know,Dr Know,1,John O'Shea & Tom Charlton,Zac Lloyd,$4.4,1,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Dusk Fall,Dusk Fall,Dusk Fall,8,Brad Widdup,Chad Schofield,$51,NA,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,6,6,Saffron Veil,Saffron Veil,Saffron Veil,2,Chris Waller,James McDonald,$1.85,3.7,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,9,9,Affari,Affari,Affari,7,Chris Waller,Andrew Adkins,$7.5,3.3,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,11,11,Stellar Cipher,Stellar Cipher,Stellar Cipher,5,Chris Waller,Jason Collett,$35,5.3,racenet
R2,Canterbury,2,2:10 pm Schweppes Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,12,12,Caloocan Beauty,Caloocan Beauty,Caloocan Beauty,4,Gai Waterhouse & Adrian Bott,Tim Clark,$6,2,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,1,1,Doradus,Doradus,Doradus,9,John Thompson,Nash Rawiller,$3,2.3,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Fioprospero,Fioprospero,Fioprospero,6,Matthew Smith,Jason Collett,$9.5,7.2,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,3,3,Standard Deviation,Standard Deviation,Standard Deviation,4,Chris Waller,James McDonald,$3.1,5.1,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,4,4,County Kilkenny,County Kilkenny,County Kilkenny,2,Danielle Seib,Tim Clark,$21,5.2,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Dolce Dior,Dolce Dior,Dolce Dior,10,Peter Snowden,Tom Sherry,$27,3.7,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,6,6,Millie De Lune,Millie De Lune,Millie De Lune,8,Matthew Smith,Zac Lloyd,$17,8.1,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,7,7,Supreme Sovereign,Supreme Sovereign,Supreme Sovereign,3,Chris Waller,Tommy Berry,$5,7.5,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,8,8,Andron,Andron,Andron,7,"Michael, John & Wayne Hawkes",Dylan Gibbons,$14,5,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,9,9,Think I,Think I,Think I,5,"Barbara Joseph, Paul & Matt Jones",Claire Ramsbotham (a-3),$23,,racenet
R3,Canterbury,3,2:45 pm Catanach's Jewellers Handicap,1900m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,10,10,Helluva Soiree,Helluva Soiree,Helluva Soiree,1,Luke Pepper,Ms Mollie Fitzgerald (a2/50kg),$201,7.2,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,1,1,Hanau,Hanau,Hanau,9,Mark Minervini,William Stanley (a-2),$26,7.5,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Snack Bar,Snack Bar,Snack Bar,6,Bjorn Baker,Tommy Berry,$5,5.5,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,3,3,Unstopabull,Unstopabull,Unstopabull,1,Chris Waller,Nash Rawiller,$3.5,7.2,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Magical Moments,Magical Moments,Magical Moments,3,Mitchell Beer & George Carpenter,Dylan Gibbons,$9.5,5.4,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,6,6,Zulfiqar,Zulfiqar,Zulfiqar,5,Richard Litt,Braith Nock (a-1.5),$35,5.4,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,9,9,Harry's Evidence,Harry's Evidence,Harry's Evidence,8,Gerald Ryan & Sterling Alexiou,Chad Schofield,$7,4.6,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,10,10,Imatruestar,Imatruestar,Imatruestar,2,Grant Jobson,Rachel King,$26,8.1,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,12,12,Spaceballs,Spaceballs,Spaceballs,7,Jason Deamer,Tim Clark,$12,5,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,13,13,Mosgold,Mosgold,Mosgold,4,Tash Burleigh,Dale Cole (a-3),$41,1.9,racenet
R4,Canterbury,4,3:20 pm Exceedance @ Vinery Stud Handicap,1250m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,14,14,West Of Dalby,West Of Dalby,West Of Dalby,10,Matthew Dale,Jason Collett,$3.8,6.3,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,1,1,Tremonti,Tremonti,Tremonti,2,Mitchell Beer & George Carpenter,Tommy Berry,$12,1,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Fierce,Fierce,Fierce,10,"Michael, John & Wayne Hawkes",Tyler Schiller,$2.4,4.5,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,3,3,Inoue,Inoue,Inoue,9,Richard Litt,Jason Collett,$19,4.5,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,4,4,Albany Road,Albany Road,Albany Road,4,Gai Waterhouse & Adrian Bott,Tim Clark,$10,6.5,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Zale,Zale,Zale,8,Gary Nickson,Winona Costin,$34,2.7,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,6,6,Bryant,Bryant,Bryant,1,Ron Quinton,Louise Day,$14,5.9,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,7,7,Pokerjack,Pokerjack,Pokerjack,3,Tash Burleigh,Siena Grima (a-2),$31,4.4,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,8,8,Whatalegacy,Whatalegacy,Whatalegacy,7,Bjorn Baker,James McDonald,$2.6,1.5,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,9,9,Sunday Tycoon,Sunday Tycoon,Sunday Tycoon,5,Clarry Conners,Keagan Latham,$51,5.8,racenet
R5,Canterbury,5,3:55 pm Ranvet Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,12,12,Royal Corporal,Royal Corporal,Royal Corporal,6,Richard Litt,Tom Sherry,$46,5.7,racenet
R6,Canterbury,6,4:30 pm Tab Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,1,1,Bremel,Bremel,Bremel,8,Gregory McFarlane,Mollie Fitzgerald (a-2),$34,4.8,racenet
R6,Canterbury,6,4:30 pm Tab Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,2,2,Flightcrew,Flightcrew,Flightcrew,6,Lee & Cherie Curtis,Zac Lloyd,$19,2.7,racenet
R6,Canterbury,6,4:30 pm Tab Handicap,1100m,Handicap,Good 4,True,Fine,4.93,Going Stick 9.6; Shear 13.5,5,5,Taxation,Taxation,Taxation,2,Joseph Pride,James McDonald,$1.65,6.7,racenet
