race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,1,1,Don's Party,Don's Party,Don's Party,6,Paul & Martha Cave,Andrew Calder,$6.25,7.3,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,2,2,Legs Power,Legs Power,Legs Power,7,Andrew MacDonald,Mikayla Weir,$81,4.9,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,3,3,Sonic Bender,Sonic Bender,Sonic Bender,1,Chris Waller,Siena Grima (a-1.5),$9.5,9,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,4,4,Tacitly,Tacitly,Tacitly,11,Annabel & Rob Archibald,Chad Schofield,$3.2,5.3,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,5,5,Think Itz You,Think Itz You,Think Itz You,8,Chris Waller,Tommy Berry,$3,5.3,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,6,6,Meritage,Meritage,Meritage,10,Bryce Heys,Lee Magorrian,$29,7.6,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,8,8,Ocean Predator,Ocean Predator,Ocean Predator,3,Gai Waterhouse & Adrian Bott,Tim Clark,$12,2.3,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,9,9,Wizard's Star,Wizard's Star,Wizard's Star,9,Edward Cummings,Ben Thompson,$15,6.7,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,10,10,Crispy Leaves,Crispy Leaves,Crispy Leaves,4,Mark Minervini,Dylan Gibbons,$29,7.5,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,11,11,Presumptuous Gal,Presumptuous Gal,Presumptuous Gal,5,David Pfieffer,Alysha Collett,$26,6.9,racenet
R1,Newcastle,1,1:00 pm Bass Floor Class 1 & Maiden Plate,1850m,Maiden,Good 4,True,Fine,,,12,12,What She's Having,What She's Having,What She's Having,2,Matthew Smith,Jason Collett,$15,5.4,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,1,1,Federalist,Federalist,Federalist,1,"Michael, John & Wayne Hawkes",Tyler Schiller,$1.55,8.3,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,2,2,Nomadic,Nomadic,Nomadic,8,John Thompson,Chad Schofield,$6.5,8.9,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,3,3,Frankie's Boy,Frankie's Boy,Frankie's Boy,7,Gai Waterhouse & Adrian Bott,Tim Clark,$12,5.3,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,4,4,River Jordan,River Jordan,River Jordan,3,Nacim Dilmi,Christian Reith,$14,3.7,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,5,5,Tiger Turf,Tiger Turf,Tiger Turf,2,Gary Portelli,Alysha Collett,$15,4,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,6,6,Lord Wootton,Lord Wootton,Lord Wootton,4,Annabel & Rob Archibald,Tom Sherry,$17,NA,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,7,7,Lafite,Lafite,Lafite,5,Chris Waller,Tommy Berry,$8.5,6.7,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,8,8,Riga,Riga,Riga,9,Nacim Dilmi,Shannen Llewellyn (a-2),$34,2.3,racenet
R2,Newcastle,2,1:35 pm Rarity Wholesale Cg&e Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,9,9,Tightrope Walker,Tightrope Walker,Tightrope Walker,6,Denim Wynen,Lee Magorrian (a1),$151,8,racenet
R3,Newcastle,3,2:10 pm Prosperity Advisers F&m Maiden Handicap,1400m,Maiden,Good 4,True,Fine,,,2,2,Made In Italy,Made In Italy,Made In Italy,3,Matthew Smith,Kerrin McEvoy,$10,5.2,racenet
