race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,1,1,Armoury,Armoury,Armoury,6,Colt Prosser,Ben Looker,$21,8.7,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,2,2,Brass Band,Brass Band,Brass Band,1,Renita Beaton,Tiffani Brooker,$2.05,3.9,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,3,3,Fabulous Fiano,Fabulous Fiano,Fabulous Fiano,7,Stephen & Jordan Lee,Dylan Turner,$4,2.3,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,4,4,Long Hot Night,Long Hot Night,Long Hot Night,2,Frank Dichiera,Noriyuki Masuda,$81,6.6,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,5,5,Savanna Golden Boy,Savanna Golden Boy,Savanna Golden Boy,3,Stephen & Jordan Lee,Archie McColm (a2/52kg),$8.5,3.6,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,6,6,Turpin's Torment,Turpin's Torment,Turpin's Torment,5,Robert Knight,Ms Grace Palmer (a3/52kg),$4,8.2,racenet
R1,Grafton,1,1:35 pm Graftontickets.com.au Maiden Plate,1720m,Maiden,Soft 5,+5m entire,Fine,,,8,8,Follow That Dream,Follow That Dream,Follow That Dream,4,Jason Reilly,Grady Spokes (a-1.5),$11,4.5,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,1,1,Arabian Legacy,Arabian Legacy,Arabian Legacy,12,Stephen Bennett,Danny Peisley,$41,5.4,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,2,2,Encontre,Encontre,Encontre,2,Stephen & Jordan Lee,Dylan Turner,$18,NA,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,3,3,Hey Kalumba,Hey Kalumba,Hey Kalumba,10,David Campbell,Grace Palmer (a-3),$41,5,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,4,4,Kanmuru,Kanmuru,Kanmuru,9,Shane Everson,Jett Newman,$81,2.7,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,6,6,Universal Energy,Universal Energy,Universal Energy,3,John Shelton,Archie McColm (a-2),$4,NA,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,7,7,Dellucy,Dellucy,Dellucy,6,Gary Nielsen,Yvette Lewis,$21,4.5,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,8,8,Exit Strategy,Exit Strategy,Exit Strategy,5,Tracy Timbery,Matthew Palmer,$8,1,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,9,9,Brief Authority,Brief Authority,Brief Authority,1,Matthew Dunn,Andrew Mallyon,$2.3,4,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,10,10,Scrambling,Scrambling,Scrambling,8,Sally Taylor,Grady Spokes (a-1.5),$4.6,7,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,12,12,Ms Wicked Showgirl,Ms Wicked Showgirl,Ms Wicked Showgirl,4,Robert Agnew,Zac Wadick,$61,7,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,15,15,Hear The Wolf Cry,Hear The Wolf Cry,Hear The Wolf Cry,11,David Matts,Raymond Spokes,$34,10,racenet
R2,Grafton,2,2:10 pm Crjc Agm 25 November Country Boosted Maiden Plate,1015m,Maiden,Soft 5,+5m entire,Fine,,,16,16,Final Pretence,Final Pretence,Final Pretence,7,Shannon Manwarring,Noriyuki Masuda,$151,4.2,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,1,1,Rum And Kirk,Rum And Kirk,Rum And Kirk,8,Matthew Dunn,Andrew Mallyon,$2.8,2.7,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,3,3,Interactive,Interactive,Interactive,3,Toby Edmonds,Jasper Franklin,$8.5,13,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,7,7,Chop Chop Go,Chop Chop Go,Chop Chop Go,6,Renita Beaton,Tiffani Brooker,$6.5,3.5,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,8,8,Deep Affection,Deep Affection,Deep Affection,1,Ethan Ensby,Ben Looker,$8.5,6.4,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,9,9,King Conquer,King Conquer,King Conquer,5,Matthew Dunn,Dylan Turner,$71,4,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,12,12,Jennibelle,Jennibelle,Jennibelle,4,John Shelton,Archie McColm (a-2),$5.5,3.4,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,13,13,Trinity State,Trinity State,Trinity State,2,Matthew Dunn,Jett Newman,$18,NA,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,15,15,Qui Rouge,Qui Rouge,Qui Rouge,9,Jake Hull,Brandon Lerena (a1),$4,4.7,racenet
R3,Grafton,3,2:50 pm Book A Christmas Party @ Crjc Maiden Handicap,1190m,Maiden,Soft 5,+5m entire,Fine,,,17,17,Magic Sound,Magic Sound,Magic Sound,10,Frank Dichiera,Noriyuki Masuda,$151,5.7,racenet
