race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,2,2,Knights Templar,Knights Templar,Knights Templar,1,Myron Cooper,Jake Pracey-holmes,$41,10,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,3,3,Quaint,Quaint,Quaint,8,Rodney Northam,Anna Weatherlake (a-3),$2.4,NA,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,4,4,Azucar,Azucar,Azucar,2,Melissa Harrison Jess,Del Frari (a-1.5),$8,4.6,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,5,5,Life Statement,Life Statement,Life Statement,10,Wayne Martyn,Braith Nock,$151,9.5,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,6,6,Meldirer,Meldirer,Meldirer,5,Brett Robb,Izzy Neale,$10,3,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,8,8,Cooly Rocks,Cooly Rocks,Cooly Rocks,3,Kieren Hazelton,Grant Buckley,$16,10.3,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,9,9,Final Coast,Final Coast,Final Coast,6,Brett Thompson,Donovan Dillon (a1),$151,5.7,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,10,10,Grandee,Grandee,Grandee,9,Kieren Hazelton,Serg Lisnyy,$151,0,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,11,11,Kneel Down,Kneel Down,Kneel Down,4,Dennis Bush,Shannen Llewellyn,$12,6.6,racenet
R1,Narromine,1,1:55 pm Three Rivers Machinery Country Boosted Maiden Handicap,1300m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,12,12,Silver Dream,Silver Dream,Silver Dream,7,Lou Mary Deon,Le Roux (a-2),$2.3,5.7,racenet
R2,Narromine,2,2:35 pm Qube Agri Narromine Class 1 & Maiden Plate,1600m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,1,1,Bawnaglen,Bawnaglen,Bawnaglen,1,Sharon Jeffries,Billy Cray,$34,6.8,racenet
R2,Narromine,2,2:35 pm Qube Agri Narromine Class 1 & Maiden Plate,1600m,Maiden,Good 4,+4m 900m-300m; True Remainder,Fine,,,2,2,Media Spin,Media Spin,Media Spin,5,Clint Lundholm,Kody Nestor,$3.4,7.7,racenet
