race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,1,1,Chumpakidd,Chumpakidd,Chumpakidd,6,Con Karakatsanis,Tom Sherry,$8,5,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,2,2,Lions Eyes,Lions Eyes,Lions Eyes,7,Bryce Heys,Mollie Fitzgerald,$7.5,NA,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,3,3,Shanghai Sprint,Shanghai Sprint,Shanghai Sprint,1,Tommy Wong,Matt Kirk (a-4),$71,7,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,4,4,Artemex,Artemex,Artemex,5,Ciaron Maher,Zac Lloyd,$2.4,5.5,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,6,6,De Grawin Queen,De Grawin Queen,De Grawin Queen,4,Keith Dryden & Libby Snowden Jean,Van Overmeire,$8,6,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,7,7,Laughing Moons,Laughing Moons,Laughing Moons,2,Joseph Pride,Chad Schofield (a0.5),$6,NA,racenet
R1,Hawkesbury,1,1:40 pm Hrc Motel Super Maiden Plate,1000m,Maiden,Good 4,True,Overcast,5.12,,8,8,Red Affairs,Red Affairs,Red Affairs,3,Sara Ryan,Regan Bayliss,$3.75,NA,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,1,1,Hungry,Hungry,Hungry,6,Sara Ryan,Regan Bayliss,$3.6,NA,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,2,2,Lion Hunt,Lion Hunt,Lion Hunt,2,Brad Widdup,Zac Lloyd,$1.8,6,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,3,3,Roquetas De Mar,Roquetas De Mar,Roquetas De Mar,7,Kevin May,Grant Buckley,$11,NA,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,4,4,Axhro,Axhro,Axhro,1,Mitchell & Desiree Kearney,Jeff Penza,$21,5.7,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,5,5,Banner Banner,Banner Banner,Banner Banner,3,Tommy Wong,Reece Jones,$17,5.4,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,6,6,Bascilica Babe,Bascilica Babe,Bascilica Babe,8,Sara Ryan,Rory Hutchings,$9.5,4.3,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,7,7,Can You Not,Can You Not,Can You Not,9,Claire Lever,Winona Costin,$101,9,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,8,8,Circus Girl,Circus Girl,Circus Girl,4,Karen Outtrim,Jay Ford,$101,7,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,10,10,Hope To Fly,Hope To Fly,Hope To Fly,5,Damien Lane,Mitchell Bell,$19,5.7,racenet
R2,Hawkesbury,2,2:20 pm Evergreen Turf Provincial Maiden Handicap,1300m,Maiden,Good 4,True,Overcast,5.12,,11,11,Spud Gun,Spud Gun,Spud Gun,10,Jack Pilkington,Louise Day,$35,6.3,racenet
R3,Hawkesbury,3,2:55 pm Clarendon Tavern Maiden Plate,1500m,Maiden,Good 4,True,Overcast,5.12,,3,3,In Circles,In Circles,In Circles,8,Joseph Pride,Regan Bayliss,$8,2.5,racenet
R3,Hawkesbury,3,2:55 pm Clarendon Tavern Maiden Plate,1500m,Maiden,Good 4,True,Overcast,5.12,,4,4,Supido Secret,Supido Secret,Supido Secret,3,Paul Niceforo,Molly Bourke,$126,7.2,racenet
R3,Hawkesbury,3,2:55 pm Clarendon Tavern Maiden Plate,1500m,Maiden,Good 4,True,Overcast,5.12,,5,5,Hillbilly Elegy,Hillbilly Elegy,Hillbilly Elegy,7,"Michael, John & Wayne Hawkes",Tyler Schiller,$13,2,racenet
