race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,2,2,Miss Spacegirl,Miss Spacegirl,Miss Spacegirl,2,Richard & Will Freedman,Siena Grima (a-2),$8,6.9,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,3,3,Miss Hades,Miss Hades,Miss Hades,7,Gary Portelli,Jason Collett,$41,4,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,5,5,Last Druid,Last Druid,Last Druid,4,Tracey Bartley,Alysha Collett,$15,5,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,6,6,Island Dec,Island Dec,Island Dec,10,Robert & Luke Price,Tommy Berry,$13,7.8,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,7,7,Better Late,Better Late,Better Late,6,Nathan Doyle,James McDonald,$2.3,2,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,8,8,Queen Of Clubs,Queen Of Clubs,Queen Of Clubs,8,Gary Portelli,Rachel King,$23,10.2,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,9,9,Vetwelve,Vetwelve,Vetwelve,1,John Sargent,Dylan Gibbons,$18,4.1,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,12,12,Master Riley,Master Riley,Master Riley,5,Theresa Bateup,Coriah Keatings (a-3),$41,4.6,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,13,13,Me Me,Me Me,Me Me,11,Robert & Luke Price,Tyler Schiller,$26,7.2,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,14,14,Call Me Sassy,Call Me Sassy,Call Me Sassy,3,David Pfieffer,Mollie Fitzgerald (a-2),$5.5,5.4,racenet
R1,Rosehill Gardens,1,11:55 am Midway Handicap,1300m,Handicap,Soft 5,True,,,,15,15,Vexxy,Vexxy,Vexxy,9,Richard & Will Freedman,Andrew Adkins,$8,7.9,racenet
R2,Rosehill Gardens,2,12:30 pm Tab Highway Handicap,1500m,Handicap,Soft 5,True,,,,1,1,Condone,Condone,Condone,9,Mack Griffith,Aaron Bullock,$14,6.4,racenet
R2,Rosehill Gardens,2,12:30 pm Tab Highway Handicap,1500m,Handicap,Soft 5,True,,,,2,2,Vltava,Vltava,Vltava,10,Joel Wilkes,Dylan Gibbons,$12,6.5,racenet
R2,Rosehill Gardens,2,12:30 pm Tab Highway Handicap,1500m,Handicap,Soft 5,True,,,,3,3,Xtreme,Xtreme,Xtreme,7,Paul Snowden,Kerrin McEvoy,$7.5,3.5,racenet
