race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds
R1,Race 1 - Warwick Farm 1300m,1,Graffiti Tycoon,2,Tom Charlton,Zac Lloyd,1.65
R1,Race 1 - Warwick Farm 1300m,2,Condone,6,Waterhouse & Bott,Adam Hyeronimus,4.8
R1,Race 1 - Warwick Farm 1300m,3,Farset,10,Waterhouse & Bott,Zac Wadick,19.0
R1,Race 1 - Warwick Farm 1300m,4,Time To Dance,1,Bryce Heys,Jamie Melham,13.0
R1,Race 1 - Warwick Farm 1300m,5,Clanwilliam,9,David Payne,Kerrin McEvoy,14.0
R1,Race 1 - Warwick Farm 1300m,6,Konsa,7,Chris Waller,James McDonald,11.0
R1,Race 1 - Warwick Farm 1300m,7,Artgirl,8,Chris Waller,Jason Collett,31.0
R1,Race 1 - Warwick Farm 1300m,8,Piroulette,5,Jarrod Austin,Deanne Panya,151.0
R1,Race 1 - Warwick Farm 1300m,9,Sharbino,4,Gary Nickson,Adrian Layt,151.0
R1,Race 1 - Warwick Farm 1300m,10,Yattazou,3,Chris Waller,Tommy Berry,19.0
R2,Race 2 - Warwick Farm 1000m,1,Another Lahar,7,David Payne,Olivia Chambers,51.0
R2,Race 2 - Warwick Farm 1000m,2,Artemex,6,Ciaron Maher,Tim Clark,4.6
R2,Race 2 - Warwick Farm 1000m,3,Celtic Spy,1,Waterhouse & Bott,Regan Bayliss,3.1
R2,Race 2 - Warwick Farm 1000m,4,Dont Doubt Frank,10,Brad Widdup,Chad Schofield,13.0
R2,Race 2 - Warwick Farm 1000m,5,First Act,4,Chris Waller,James McDonald,6.0
R2,Race 2 - Warwick Farm 1000m,6,Iron Rebel,2,Gary Portelli,Zac Lloyd,27.0
R2,Race 2 - Warwick Farm 1000m,7,Lord Horatio,8,Tom Charlton,Dylan Gibbons,6.0
R2,Race 2 - Warwick Farm 1000m,8,Pieripper,9,Gregory Hickman,Andrew Adkins,101.0
R2,Race 2 - Warwick Farm 1000m,9,Portico,3,Michael Freedman,Sam Clipperton,5.0
R2,Race 2 - Warwick Farm 1000m,10,Remember The Time,5,Paul & Martha Cave,Andrew Calder,51.0
R3,Race 3 - Warwick Farm 1000m,1,Coral,3,Chris Waller,Zac Lloyd,10.0
R3,Race 3 - Warwick Farm 1000m,2,Cosmo Girl,14,Chris Waller,Sam Clipperton,35.0
R3,Race 3 - Warwick Farm 1000m,3,Greasy Wheels,8,Gregory Hickman,Andrew Adkins,151.0
R3,Race 3 - Warwick Farm 1000m,4,La Barrita,11,Tony & Calvin McEvoy,Jamie Melham,3.4
R3,Race 3 - Warwick Farm 1000m,5,Semantics,13,Freedman,Dylan Gibbons,12.0
R3,Race 3 - Warwick Farm 1000m,6,Single Ladies,9,Waterhouse & Bott,Zac Wadick,51.0
R3,Race 3 - Warwick Farm 1000m,7,Sumeria,4,Ciaron Maher,James McDonald,3.0
R3,Race 3 - Warwick Farm 1000m,9,Too Delicious,2,Craig Carmody,Winona Costin,151.0
R3,Race 3 - Warwick Farm 1000m,10,Uncertain Glory,6,Michael Freedman,Tommy Berry,7.0
R3,Race 3 - Warwick Farm 1000m,11,Viondi,7,Gary Nickson,Adrian Layt,251.0
R4,Race 4 - Warwick Farm 1100m,1,Rimbaud,5,Archibald,Anna Roper,3.3
R4,Race 4 - Warwick Farm 1100m,2,Who But Roo,7,Garry Kirkup,Teaghan Martin,17.0
R4,Race 4 - Warwick Farm 1100m,3,Before The War,8,Ledger,Amy McLucas,23.0
R4,Race 4 - Warwick Farm 1100m,4,Super Bright,2,Nathan Doyle,Kerrin McEvoy,5.0
R4,Race 4 - Warwick Farm 1100m,5,Zale,1,Gary Nickson,Winona Costin,4.5
R4,Race 4 - Warwick Farm 1100m,6,Against The Law,3,Bryce Heys,Zac Lloyd,5.0
R4,Race 4 - Warwick Farm 1100m,7,Dear Jewel,6,Joseph Pride,Andrew Adkins,6.0
R4,Race 4 - Warwick Farm 1100m,8,Major Time,4,Gratz Vella,Rachel King,61.0
R5,Race 5 - Warwick Farm 1600m,1,The Creator,13,Price & Kent,Anna Roper,71.0
