race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds
R1,Race 1 - Wyong 1600m,1,Siccius,7,Kris Lees,William Stanley,15
R1,Race 1 - Wyong 1600m,2,Aurora Effect,5,Edward Cummings,Jason Collett,1.4
R1,Race 1 - Wyong 1600m,3,Going By Train,3,Denim Wynen,Mollie Fitzgerald,61
R1,Race 1 - Wyong 1600m,4,Pressiaire,2,Allan Kehoe,Jenny Duggan,41
R1,Race 1 - Wyong 1600m,5,Senza Rivali,6,Kristen Buchanan,Siena Grima,23
R1,Race 1 - Wyong 1600m,6,Belgrano,10,Darryll Kell,Chad Lever,26
R1,Race 1 - Wyong 1600m,7,Burning Ambition,4,James Ponsonby,Mikayla Weir,29
R1,Race 1 - Wyong 1600m,8,Highland Lad,1,James Ponsonby,Winona Costin,201
R1,Race 1 - Wyong 1600m,9,Irulan,8,Jason Attard,Rachel King,41
R1,Race 1 - Wyong 1600m,10,Powerful Annie,9,Kris Lees,Tim Clark,6.5
R2,Race 2 - Wyong 1100m,2,Apparently,1,Nikki Pollock,Leeshelle Small,201
R2,Race 2 - Wyong 1100m,3,Ask Di,8,Gerald Ryan & Sterling Alexiou,Chad Schofield,23
R2,Race 2 - Wyong 1100m,4,Gamp,5,"Michael, John & Wayne Hawkes",Jay Ford,7.5
R2,Race 2 - Wyong 1100m,5,Hidden Star,7,Mark Minervini,Mollie Fitzgerald,19
R2,Race 2 - Wyong 1100m,6,Merini,6,Kris Lees,Jason Collett,5.5
R2,Race 2 - Wyong 1100m,7,Nicolosi,4,Gai Waterhouse & Adrian Bott,Tim Clark,1.8
R2,Race 2 - Wyong 1100m,8,Sorentina,10,Richard Litt,Tom Sherry,26
R2,Race 2 - Wyong 1100m,9,Tidal Breeze,2,Nikki Pollock,Billy Cray,201
R2,Race 2 - Wyong 1100m,10,Weekend Market,9,Gary Portelli,Rachel King,14
R2,Race 2 - Wyong 1100m,11,Zsa Zsa,3,Sara Ryan,Ashley Morgan,19
R3,Race 3 - Wyong 1350m,1,Farset,2,Gai Waterhouse & Adrian Bott,Regan Bayliss,2.1
R3,Race 3 - Wyong 1350m,3,Nonno's Power,7,Joseph Pride,Rory Hutchings,8
R3,Race 3 - Wyong 1350m,4,Gemtiki,4,Mark Minervini,Mollie Fitzgerald,51
R3,Race 3 - Wyong 1350m,5,Satono Jasmine,5,Brad Widdup,Chad Schofield,16
R3,Race 3 - Wyong 1350m,6,Apiarist,6,Ciaron Maher,Tim Clark,12
R3,Race 3 - Wyong 1350m,9,Gong Girl,9,David Pfieffer,Rachel King,3.5
R4,Race 4 - Wyong 1350m,1,Waku Waku,7,Annabel & Rob Archibald,Olivia Dalton,3.4
R4,Race 4 - Wyong 1350m,2,Maquisa,3,Chris Waller,Siena Grima,2.75
R4,Race 4 - Wyong 1350m,4,Rach,5,Chris Waller,Jason Collett,4.6
R4,Race 4 - Wyong 1350m,5,Mane Character,1,Nacim Dilmi,Reece Jones,10
R4,Race 4 - Wyong 1350m,6,Shoutaboutit,6,Kristen Buchanan,Jay Ford,11
